case,label,category,provider,model,thinking_mode,thinking_budget,max_output_tokens,prompt_template_name,ssal_profile_name,count,indices_base0_ranges,ok_count,valid_json_count,valid_path_count,exact_path_match_count,avg_absolute_length_error_m,avg_relative_length_error,avg_declared_length_absolute_error_m,avg_node_overlap,avg_edge_overlap,common_outcome_labels,brief_evaluation_summary
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,4096,Built-in default route prompt,default_length_name_oneway_coords,5,"16, 172, 174, 176, 248",4,0,0,0,,,,,,"invalid_json×4, provider_call_failed×1","No successful valid route result. ok 4/5; valid JSON 0/5; valid path 0/5; exact 0/5. Main labels: invalid_json×4, provider_call_failed×1."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,4096,VoT Template,length_name_oneway,3,"92, 94, 96",3,3,2,2,0.0,0.0,192.5,0.9444444444444443,0.927536231884058,"exact_match×2, missing_edges×1","Mixed result: some exact matches, some non-exact or failed runs. ok 3/3; valid JSON 3/3; valid path 2/3; exact 2/3; avg length error 0.0 m; avg relative error 0.0%; avg node overlap 94.4%; avg edge overlap 92.8%. Main labels: exact_match×2, missing_edges×1."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,dynamic,,8192,Built-in default route prompt,default_length_name_oneway_coords,2,"144, 146",2,0,0,0,,,,,,invalid_json×2,No successful valid route result. ok 2/2; valid JSON 0/2; valid path 0/2; exact 0/2. Main labels: invalid_json×2.
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,8192,Built-in default route prompt,default_length_name_oneway_coords,11,"150, 152, 154, 156, 158, 160, 162, 164, 166, 168, 170",11,2,0,0,,,,0.6666666666666665,0.6086956521739135,"invalid_json×9, missing_edges×1, unknown_nodes×1","Responses were at least partly parseable JSON, but no run produced a valid path. ok 11/11; valid JSON 2/11; valid path 0/11; exact 0/11; avg node overlap 66.7%; avg edge overlap 60.9%. Main labels: invalid_json×9, missing_edges×1, unknown_nodes×1."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,custom,2048,4096,Built-in default route prompt,default_length_name_oneway_coords,2,"208, 210",2,1,0,0,,,,0.625,0.565217391304348,"missing_edges×1, invalid_json×1","Responses were at least partly parseable JSON, but no run produced a valid path. ok 2/2; valid JSON 1/2; valid path 0/2; exact 0/2; avg node overlap 62.5%; avg edge overlap 56.5%. Main labels: missing_edges×1, invalid_json×1."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,1536,Built-in default route prompt,default_length_name_oneway_coords,1,246,1,0,0,0,,,,,,invalid_json×1,No successful valid route result. ok 1/1; valid JSON 0/1; valid path 0/1; exact 0/1. Main labels: invalid_json×1.
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,OpenAI,gpt-5.4,,,4096,Built-in default route prompt,default_length_name_oneway_coords,3,"209, 211, 249",3,3,3,3,0.0,0.0,177.43333333333334,1.0,1.0,exact_match×3,All runs matched the ground-truth route exactly. ok 3/3; valid JSON 3/3; valid path 3/3; exact 3/3; avg length error 0.0 m; avg relative error 0.0%; avg node overlap 100.0%; avg edge overlap 100.0%. Main labels: exact_match×3.
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,OpenAI,gpt-5.4,,,1536,Built-in default route prompt,default_length_name_oneway_coords,1,247,1,1,1,1,0.0,0.0,189.7,1.0,1.0,exact_match×1,All runs matched the ground-truth route exactly. ok 1/1; valid JSON 1/1; valid path 1/1; exact 1/1; avg length error 0.0 m; avg relative error 0.0%; avg node overlap 100.0%; avg edge overlap 100.0%. Main labels: exact_match×1.
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,OpenAI,gpt-5.4-mini,,,4096,Built-in default route prompt,default_length_name_oneway_coords,4,"17, 173, 175, 177",4,4,0,0,,,,0.53125,0.4239130434782608,missing_edges×4,"Responses were at least partly parseable JSON, but no run produced a valid path. ok 4/4; valid JSON 4/4; valid path 0/4; exact 0/4; avg node overlap 53.1%; avg edge overlap 42.4%. Main labels: missing_edges×4."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,OpenAI,gpt-5.4-mini,,,4096,VoT Template,length_name_oneway,3,"93, 95, 97",3,3,0,0,,,,0.31944444444444464,0.23188405797101447,"missing_edges×2, wrong_destination+missing_edges×1","Responses were at least partly parseable JSON, but no run produced a valid path. ok 3/3; valid JSON 3/3; valid path 0/3; exact 0/3; avg node overlap 31.9%; avg edge overlap 23.2%. Main labels: missing_edges×2, wrong_destination+missing_edges×1."
1,Tehtaankatu 27-29 → Tehtaankatu 23,I. Direct route,OpenAI,gpt-5.4-mini,,,8192,Built-in default route prompt,default_length_name_oneway_coords,13,"145, 147, 151, 153, 155, 157, 159, 161, 163, 165, 167, 169, 171",13,13,0,0,,,,0.17307692307692307,0.08026755852842811,missing_edges×13,"Responses were at least partly parseable JSON, but no run produced a valid path. ok 13/13; valid JSON 13/13; valid path 0/13; exact 0/13; avg node overlap 17.3%; avg edge overlap 8.0%. Main labels: missing_edges×13."
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,4096,Built-in default route prompt,default_length_name_oneway_coords,8,"12, 14, 136, 138, 140, 142, 240, 242",8,7,2,2,0.0,0.0,50.699999999999996,0.9675324675324679,0.9319727891156464,"missing_edges×5, exact_match×2, invalid_json×1","Mixed result: some exact matches, some non-exact or failed runs. ok 8/8; valid JSON 7/8; valid path 2/8; exact 2/8; avg length error 0.0 m; avg relative error 0.0%; avg node overlap 96.8%; avg edge overlap 93.2%. Main labels: missing_edges×5, exact_match×2, invalid_json×1."
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,4096,VoT Template,length_name_oneway,3,"86, 88, 90",3,3,1,1,0.0,0.0,137.0,0.9696969696969701,0.9365079365079366,"missing_edges×2, exact_match×1","Mixed result: some exact matches, some non-exact or failed runs. ok 3/3; valid JSON 3/3; valid path 1/3; exact 1/3; avg length error 0.0 m; avg relative error 0.0%; avg node overlap 97.0%; avg edge overlap 93.7%. Main labels: missing_edges×2, exact_match×1."
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,Gemini,gemini-2.5-flash,custom,2048,4096,Built-in default route prompt,default_length_name_oneway_coords,2,"204, 206",0,0,0,0,,,,,,provider_call_failed×2,All runs failed at the provider/API-call level. ok 0/2; valid JSON 0/2; valid path 0/2; exact 0/2. Main labels: provider_call_failed×2.
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,Gemini,gemini-2.5-flash,off,0,1536,Built-in default route prompt,default_length_name_oneway_coords,1,244,1,0,0,0,,,,,,invalid_json×1,No successful valid route result. ok 1/1; valid JSON 0/1; valid path 0/1; exact 0/1. Main labels: invalid_json×1.
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,OpenAI,gpt-5.4,,,4096,Built-in default route prompt,default_length_name_oneway_coords,4,"205, 207, 241, 243",4,4,0,0,,,,0.14772727272727249,0.0952380952380952,"wrong_destination×3, missing_edges×1","Responses were at least partly parseable JSON, but no run produced a valid path. ok 4/4; valid JSON 4/4; valid path 0/4; exact 0/4; avg node overlap 14.8%; avg edge overlap 9.5%. Main labels: wrong_destination×3, missing_edges×1."
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,OpenAI,gpt-5.4,,,1536,Built-in default route prompt,default_length_name_oneway_coords,1,245,1,1,1,0,1388.6,7.51000540832882,1502.7,0.181818181818182,0.0952380952380952,valid_but_not_shortest×1,"All runs produced valid paths, but none matched the shortest path exactly. ok 1/1; valid JSON 1/1; valid path 1/1; exact 0/1; avg length error 1388.6 m; avg relative error 751.0%; avg node overlap 18.2%; avg edge overlap 9.5%. Main labels: valid_but_not_shortest×1."
2,Kankurinkatu 5 → Merimiehenkatu 23,I. Direct route,OpenAI,gpt-5.4-mini,,,4096,Built-in default route prompt,default_length_name_oneway_coords,6,"13, 15, 137, 139, 141, 143",6,6,0,0,,,,0.4242424242424243,0.3095238095238095,missing_edges×6,"Responses were at least partly parseable JSON, but no run produced a valid path. ok 6/6; valid JSON 6/6; valid path 0/6; exact 0/6; avg node overlap 42.4%; avg edge overlap 31.0%. Main labels: missing_edges×6."
